READ_DATE,KWH_EXP,tavg,tmin,tmax,wdir,wspd,pres,Tavg,RH_avg,RR,ss,KWH_EXP_MA,KWH_EXP_ES,trend_ma,cycle_ma
2021-12-18,131.23121606270294,27.8,24.0,34.5,149.0,8.2,1007.6,27.4,84.0,0.0,11.6,132.76286608436948,134.51723649821955,59.184546155750226,73.57831992861925
2021-12-19,128.04850051184553,27.8,23.4,33.5,113.0,7.1,1008.6,27.7,87.0,65.2,10.3,132.53807066340332,131.68439423709376,59.187334748665705,73.35073591473761
2021-12-20,124.64437141270776,27.5,25.0,31.8,134.0,6.2,1009.9,27.3,90.0,2.0,3.3,132.1998042724659,126.61501424538599,59.190118787513725,73.00968548495219
2021-12-21,125.28000805364098,27.0,24.9,30.6,41.0,7.7,1010.5,26.9,87.0,29.8,5.3,132.3401095309982,125.50832836199862,59.19289828267001,73.1472112483282
2021-12-22,117.41321964338016,28.1,24.3,31.3,101.0,7.7,1009.3,28.0,85.0,5.0,5.5,131.68683946982893,120.52355474082526,59.1956732451684,72.49116622466053
2021-12-23,115.01285053395895,26.9,24.8,32.0,347.0,7.3,1008.1,27.1,82.0,3.5,3.4,131.10235119696424,115.86471600295125,59.19844368670214,71.90390751026209
2021-12-24,110.1565302397462,27.6,23.5,32.4,166.0,7.8,1007.6,27.7,82.0,2.0,5.6,130.47165153125613,112.73732737460278,59.20120961961795,71.27044191163819
2021-12-25,101.43438101168198,26.4,24.7,31.7,148.0,7.8,1007.7,26.6,89.0,0.0,8.3,129.75626486399736,113.90911045541066,59.203971056910746,70.55229380708661
2021-12-26,68.66503403006779,27.2,23.5,32.8,123.0,6.4,1008.0,27.4,82.0,14.5,7.0,127.22748572982893,98.83640900589508,59.20672801221795,68.02075771761098
2021-12-27,61.221707980104185,27.5,23.5,32.6,135.0,6.2,1008.4,27.3,84.0,14.0,6.8,124.35067641076157,74.74459109334506,59.20948049981299,65.14119591094857
2021-12-28,89.11049979778421,26.8,24.3,31.3,133.0,6.1,1008.2,26.7,87.0,8.4,5.5,122.54980489436217,69.96935513214504,59.212228534582486,63.33757635977968
2021-12-29,86.80136808372826,25.8,24.0,31.2,157.0,6.0,1008.5,25.7,89.0,24.200000000000003,2.9,120.76543572461186,79.34765315099742,59.21497213200031,61.55046359261155
2021-12-30,70.82595580783753,26.7,23.0,30.4,8.0,6.5,1008.7,26.7,88.0,40.0,4.8,118.51087143618585,81.28460349272243,59.21771130811132,59.29316012807453
2021-12-31,68.89150088243439,26.4,23.0,31.4,352.0,6.5,1008.8,26.5,87.0,3.4,4.3,116.3713947717319,74.81947678283544,59.22044607951522,57.15094869221668
2022-01-01,64.810278279688,26.4,23.5,29.6,312.0,6.5,1009.0,26.2,88.0,1.0,6.4,114.75622912766461,71.32127192619278,59.22317646334625,55.53305266431836
2022-01-02,51.47025280410024,26.2,24.3,29.4,124.0,6.4,1008.7,26.2,92.0,7.3,1.9,112.00516412289956,61.480874188650276,59.22590247725385,52.77926164564571
2022-01-03,46.354914767571216,26.2,24.0,30.0,119.0,6.4,1008.3,26.2,88.0,0.0,1.1,109.17076365463008,59.08677789885523,59.22862413938807,49.94213951524201
